Rk,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALL NBA
1,Precious Achiuwa,PF,21,MIA,61,4,737,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,0.3,1,1.3,0.085,-3.6,-0.5,-4.1,-0.4,0
2,Jaylen Adams,PG,24,MIL,7,0,18,-6.5,0.125,0.25,0,0,16.9,8.8,12.7,0,0,0,18.6,-0.1,0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,0
3,Steven Adams,C,27,NOP,58,58,1605,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4,0.119,-0.4,0.1,-0.3,0.7,0
4,Bam Adebayo,C,23,MIA,64,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7,0
5,LaMarcus Aldridge,C,35,TOT,26,23,674,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,0.5,0.6,1.1,0.08,-0.2,-0.2,-0.3,0.3,0
5,LaMarcus Aldridge,C,35,SAS,21,18,544,15.1,0.545,0.302,0.149,3.3,15.4,9.2,10.2,0.7,2.8,7,22.7,0.3,0.5,0.8,0.067,-0.2,-0.7,-0.9,0.2,0
5,LaMarcus Aldridge,C,35,BRK,5,5,130,18.2,0.611,0.104,0.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,0.2,0.2,0.4,0.135,0.1,2.1,2.2,0.1,0
6,Ty-Shon Alexander,SG,22,PHO,15,0,47,4.2,0.349,0.75,0.167,4.9,19,12.1,15.4,0,1.9,18.9,15,-0.1,0,0,-0.048,-4.8,-1.7,-6.5,-0.1,0
7,Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1,0.7,0.035,-1.4,0.1,-1.3,0.2,0
8,Grayson Allen,SG,25,MEM,50,38,1259,12.8,0.586,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6,0
9,Jarrett Allen,C,22,TOT,63,45,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,0
9,Jarrett Allen,C,22,BRK,12,5,320,21.5,0.73,0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1,0.5,1.4,0.216,1.7,0.9,2.6,0.4,0
9,Jarrett Allen,C,22,CLE,51,40,1544,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,3.4,1.6,5,0.155,1.2,-0.4,0.8,1.1,0
10,Al-Farouq Aminu,PF,30,TOT,23,14,434,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2,0
10,Al-Farouq Aminu,PF,30,ORL,17,14,367,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,0.014,-4.4,1.3,-3.1,-0.1,0
10,Al-Farouq Aminu,PF,30,CHI,6,0,67,3,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0,19.7,9.8,-0.1,0.1,0,-0.013,-7.5,0.2,-7.3,-0.1,0
11,Kyle Anderson,PF,27,MEM,69,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,0
12,Giannis Antetokounmpo,PF,26,MIL,61,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6,1
13,Kostas Antetokounmpo,PF,23,LAL,15,0,56,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1,0
14,Thanasis Antetokounmpo,SF,28,MIL,57,3,551,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2,0
15,Carmelo Anthony,PF,36,POR,69,3,1690,14.6,0.547,0.418,0.198,2,11.8,6.8,9.2,1.3,2,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4,0
16,Cole Anthony,PG,20,ORL,47,34,1273,12.1,0.496,0.312,0.237,3,15.4,9,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0,-0.001,-1.9,-1.4,-3.3,-0.4,0
17,OG Anunoby,SF,23,TOR,43,43,1433,15.4,0.605,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2,0
18,Ryan Arcidiacono,PG,26,CHI,44,0,450,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1,0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0,0
19,Trevor Ariza,SF,35,MIA,30,27,841,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1,1.6,0.091,-1.2,0.1,-1.1,0.2,0
20,D.J. Augustin,PG,33,TOT,57,12,1129,12.1,0.57,0.633,0.274,1.9,7,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.088,-0.6,-1.5,-2.1,0,0
20,D.J. Augustin,PG,33,MIL,37,6,713,10.2,0.542,0.672,0.208,1.7,5.5,3.7,18.6,1.3,0.1,14,14.3,0.8,0.4,1.2,0.08,-1.3,-0.9,-2.2,0,0
20,D.J. Augustin,PG,33,HOU,20,6,416,15.5,0.604,0.583,0.358,2.2,9.4,5.6,28.3,0.9,0,15.1,21,0.8,0.1,0.9,0.103,0.6,-2.6,-2,0,0
21,Deni Avdija,SF,20,WAS,54,32,1257,7.6,0.515,0.538,0.144,1.9,20.2,11,6.3,1.2,1,9,12,0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4,0
22,Deandre Ayton,C,22,PHO,69,69,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7,0
23,Udoka Azubuike,C,21,UTA,15,0,57,10.3,0.597,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,0,0.1,0.1,0.119,-5.5,1.7,-3.8,0,0
24,Dwayne Bacon,SG,25,ORL,72,50,1853,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5,0
25,Marvin Bagley III,PF,21,SAC,43,42,1112,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3,0
26,LaMelo Ball,PG,19,CHO,51,31,1469,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1,1.9,2.8,0.093,1.1,0.7,1.8,1.4,0
27,Lonzo Ball,PG,23,NOP,55,55,1747,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6,0
28,Mo Bamba,C,22,ORL,46,5,725,19.3,0.556,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.2,0,0.1,0.4,0
29,Desmond Bane,SG,22,MEM,68,17,1519,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5,0
30,Harrison Barnes,PF,28,SAC,58,58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,4,0.5,4.5,0.103,1.5,-1.3,0.2,1.1,0
31,RJ Barrett,SG,20,NYK,72,72,2511,13.4,0.535,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,0
32,Will Barton,SF,30,DEN,56,52,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,0.7,1.5,2.2,0.061,-1,-0.8,-1.9,0.1,0
33,Keita Bates-Diop,SF,25,SAS,30,0,245,12,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,0.068,-2.3,0.4,-1.9,0,0
34,Nicolas Batum,SF,32,LAC,67,38,1835,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5,0.132,0.6,1.5,2.1,1.9,0
35,Aron Baynes,C,34,TOR,53,31,980,10.5,0.503,0.339,0.135,9.4,21.7,15.3,7,0.8,2.3,12.5,16.2,0.1,0.9,1,0.049,-3.4,-1.1,-4.5,-0.6,0
36,Kent Bazemore,SF,31,GSW,67,18,1333,10.6,0.564,0.469,0.199,2.1,16,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.7,-1.2,0.2,0
37,Darius Bazley,PF,20,OKC,55,55,1714,9.7,0.491,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1,0
38,Bradley Beal,SG,27,WAS,60,60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,1
39,Malik Beasley,SG,24,MIN,37,36,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,0.9,0.4,1.3,0.053,1.6,-1.8,-0.2,0.6,0
40,Jordan Bell,C,26,TOT,6,1,82,8,0.328,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1,0.1,0,-0.008,-5.9,0.1,-5.8,-0.1,0
40,Jordan Bell,C,26,WAS,5,1,67,8.5,0.35,0.1,0,9.5,20.5,15,9.5,2.1,3.7,13,14.2,-0.1,0.1,0,-0.004,-5.4,-0.3,-5.7,-0.1,0
40,Jordan Bell,C,26,GSW,1,0,15,5.6,0.174,0,1,7.2,28,17.7,15.5,0,11.8,25.8,11.1,0,0,0,-0.026,-8.3,1.7,-6.5,0,0
41,DeAndre' Bembry,SF,26,TOR,51,12,972,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.4,-1.9,0,0
42,Dāvis Bertāns,PF,28,WAS,57,7,1464,11.4,0.62,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,2.1,1,3.1,0.101,0.3,-1.1,-0.8,0.4,0
43,Patrick Beverley,PG,32,LAC,37,34,832,12,0.58,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,1,1,2.1,0.119,-0.7,1.4,0.7,0.6,0
44,Saddiq Bey,SF,21,DET,70,53,1909,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.082,0.3,-0.8,-0.5,0.7,0
45,Tyler Bey,SF,22,DAL,18,0,71,5.9,0.372,0.182,0.227,12.5,16.9,14.7,5.6,0,1.3,11,16.9,-0.1,0,0,-0.033,-5.5,-3.9,-9.5,-0.1,0
46,Khem Birch,C,28,TOT,67,22,1529,15.1,0.552,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,2.3,1.4,3.8,0.118,-1,0.1,-1,0.4,0
46,Khem Birch,C,28,ORL,48,5,952,14.1,0.517,0.1,0.407,12.3,14.2,13.2,8,1.6,2.7,8.5,12.2,1.3,0.8,2.1,0.106,-1.7,0.1,-1.6,0.1,0
46,Khem Birch,C,28,TOR,19,17,577,16.9,0.596,0.181,0.257,10.5,17.2,13.7,9.4,1.3,3.8,9.9,15.8,1.1,0.6,1.7,0.138,0.1,0,0.1,0.3,0
47,Goga Bitadze,C,21,IND,45,3,561,16.3,0.523,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-2,1,-1,0.1,0
48,Bismack Biyombo,C,28,CHO,66,36,1349,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.4,0.4,-3,-0.4,0
49,Nemanja Bjelica,PF,32,TOT,37,3,595,12.9,0.554,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,0.5,0.3,0.9,0.071,-1.4,-0.8,-2.2,0,0
49,Nemanja Bjelica,PF,32,SAC,26,1,439,12.7,0.555,0.387,0.28,6,19.5,12.6,15.3,0.9,0.4,14.3,19.3,0.3,0.1,0.5,0.052,-1.3,-1.3,-2.6,-0.1,0
49,Nemanja Bjelica,PF,32,MIA,11,2,156,13.3,0.55,0.587,0.196,3.7,15.8,9.9,18.7,2.2,2,9.1,15.9,0.2,0.2,0.4,0.122,-1.8,0.4,-1.3,0,0
50,Eric Bledsoe,SG,31,NOP,71,70,2111,11.5,0.533,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,0.053,-1.2,-0.9,-2,0,0
51,Keljin Blevins,SF,25,POR,17,0,75,-0.9,0.3,0.4,0,4.2,10.3,7.1,6.7,1.3,0,20,14.3,-0.2,0,-0.2,-0.137,-8.3,-2.3,-10.7,-0.2,0
52,Bogdan Bogdanović,SG,28,ATL,44,27,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.3,0.3,3.6,1.8,0
53,Bojan Bogdanović,SF,31,UTA,72,72,2216,14,0.588,0.498,0.286,2,11.1,6.7,9.1,1,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9,0
54,Bol Bol,PF,21,DEN,32,2,160,9.4,0.534,0.414,0.259,0,16.9,8.5,6,0.9,6.1,16.8,21.2,-0.2,0.2,0,-0.004,-3.8,-0.3,-4.1,-0.1,0
55,Marques Bolden,C,22,CLE,6,0,29,13.3,0.537,0,2.667,11.3,11.9,11.6,0,3.4,6.1,23.5,12.8,0,0,0,0.063,-3.8,0.8,-3,0,0
56,Jordan Bone,PG,23,ORL,14,0,196,8.9,0.519,0.593,0,2,11,6.4,13.6,0.5,0,5.3,12.6,0.1,0.1,0.2,0.045,-3,-1.2,-4.2,-0.1,0
57,Isaac Bonga,SF,21,WAS,40,8,432,4,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,-0.4,0.4,0,-0.001,-5.8,0,-5.8,-0.4,0
58,Devin Booker,SG,24,PHO,67,67,2270,19.2,0.587,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,2.9,2,4.9,0.104,1.7,-1.4,0.3,1.3,0
59,Chris Boucher,C,28,TOR,60,14,1453,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4,2.1,6.1,0.201,2.7,0.6,3.3,2,0
60,Brian Bowen,SF,22,IND,6,0,15,1,0.338,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,0,0,0,-0.063,-8.1,-2.9,-11,0,0
61,Avery Bradley,SG,30,TOT,27,6,602,6.3,0.487,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.5,-5.4,-0.5,0
61,Avery Bradley,SG,30,MIA,10,1,211,10.4,0.607,0.576,0.136,1.1,8.5,4.9,10,1.6,0.5,11.4,16.9,0.1,0.2,0.3,0.072,-2.5,0.1,-2.4,0,0
61,Avery Bradley,SG,30,HOU,17,5,391,4,0.409,0.6,0.057,1.6,9.4,5.3,11.2,1.7,0.5,15,13.8,-0.6,0.2,-0.4,-0.052,-6.2,-0.8,-6.9,-0.5,0
62,Tony Bradley,C,23,TOT,42,8,684,20.7,0.678,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,1.8,1,2.7,0.192,1.2,0.1,1.3,0.6,0
62,Tony Bradley,C,23,PHI,20,8,287,21.1,0.683,0.013,0.147,15.2,24.5,19.9,8.7,1,4.1,7,12.9,1,0.5,1.5,0.245,2.3,1,3.3,0.4,0
62,Tony Bradley,C,23,OKC,22,0,397,20.4,0.676,0.016,0.361,11.9,23.6,17.7,8.3,1.1,3.8,16,18,0.8,0.5,1.3,0.154,0.4,-0.5,-0.2,0.2,0
63,Jarrell Brantley,PF,24,UTA,28,0,138,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,0.3,0.2,0.5,0.172,0.6,1.6,2.2,0.1,0
64,Ignas Brazdeikis,SF,22,TOT,13,0,249,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.2,-2.1,-5.3,-0.2,0
64,Ignas Brazdeikis,SF,22,NYK,4,0,7,11.2,0.532,0,2,15.7,15.3,15.5,17.5,0,0,34.7,18.3,0,0,0,0.039,-2.9,-1.2,-4.1,0,0
64,Ignas Brazdeikis,SF,22,PHI,1,0,8,-12,0,0.333,0,0,27,13.8,0,0,0,0,16.1,-0.1,0,-0.1,-0.33,-15.2,-6.2,-21.4,0,0
64,Ignas Brazdeikis,SF,22,ORL,8,0,234,10.2,0.528,0.342,0.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,0,0.1,0.1,0.027,-2.8,-2,-4.8,-0.2,0
65,Mikal Bridges,SF,24,PHO,72,72,2348,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8,0.164,2.4,0.9,3.3,3.1,0
66,Miles Bridges,PF,22,CHO,66,19,1932,14.7,0.625,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0.1,0.2,1.1,0
67,Amida Brimah,C,26,IND,5,0,29,16.6,0.697,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,0,0.1,0,0.073,-6.2,1.4,-4.8,0,0
68,Oshae Brissett,SF,22,IND,21,16,519,17.2,0.638,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,0.165,1.1,-0.5,0.6,0.3,0
69,Malcolm Brogdon,PG,28,IND,56,56,1930,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,3,-0.9,2.1,2,0
70,Armoni Brooks,SG,22,HOU,20,5,520,10.4,0.565,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,0.1,0.2,0.3,0.03,-1.1,-2.1,-3.2,-0.2,0
71,Dillon Brooks,SF,25,MEM,67,67,1997,12.1,0.515,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.1,-3.7,-0.9,0
72,Bruce Brown,PG,24,BRK,65,37,1451,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.144,-0.4,0.2,-0.1,0.7,0
73,Charlie Brown Jr.,SG,23,OKC,9,1,152,4.1,0.422,0.488,0.233,2,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.4,-1.3,-8.7,-0.3,0
74,Jaylen Brown,SG,24,BOS,58,58,1999,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2,4.8,0.115,3.2,-0.7,2.5,2.3,0
75,Moses Brown,C,21,OKC,43,32,920,18.8,0.572,0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,0.138,-1.3,-1.2,-2.4,-0.1,0
76,Sterling Brown,SG,25,HOU,51,14,1229,11.1,0.597,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1,0.8,1.8,0.071,-1.6,0,-1.6,0.1,0
77,Troy Brown Jr.,SF,21,TOT,34,0,524,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1,12.1,14,0,0.5,0.5,0.043,-3.3,-0.6,-4,-0.3,0
77,Troy Brown Jr.,SF,21,WAS,21,0,287,6.3,0.471,0.517,0.169,4.1,18.4,11.3,8.5,0.5,1.2,14.3,16.1,-0.3,0.2,-0.1,-0.009,-4.2,-1.3,-5.5,-0.3,0
77,Troy Brown Jr.,SF,21,CHI,13,0,237,11.2,0.616,0.436,0.109,4.3,16.2,10.3,5.6,1.4,0.7,8,11.5,0.3,0.2,0.5,0.107,-2.3,0.2,-2.2,0,0
78,Jalen Brunson,PG,24,DAL,68,12,1697,17.1,0.618,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,3.9,1.1,5.1,0.143,1.5,-0.6,0.9,1.2,0
79,Elijah Bryant,SG,25,MIL,1,0,32,10.6,0.559,0.385,0.231,6.8,12.7,9.9,12.6,0,2.8,21.8,24,0,0,0,0.008,-3.9,-3.4,-7.3,0,0
80,Thomas Bryant,C,23,WAS,10,10,271,18.7,0.704,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1,0.171,1.4,-0.6,0.9,0.2,0
81,Reggie Bullock,SF,29,NYK,65,64,1949,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9,0
82,Trey Burke,PG,28,DAL,62,1,911,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8,20,0.7,0.7,1.4,0.071,-1.4,-0.4,-1.8,0,0
83,Alec Burks,SG,29,NYK,49,5,1255,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1,0
84,Jimmy Butler,SF,31,MIA,52,52,1745,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.4,2.3,7.7,4.3,1
85,Bruno Caboclo,PF,25,HOU,6,0,36,9,0.475,0.294,0.118,8.5,34,20.7,4.7,0,5,18.3,25.8,-0.1,0,-0.1,-0.088,-8.5,-1.7,-10.2,-0.1,0
86,Devontae Cacok,PF,24,LAL,20,1,98,17.2,0.576,0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,0.1,0.2,0.3,0.142,-1.5,0.4,-1,0,0
87,Kentavious Caldwell-Pope,SG,27,LAL,67,67,1902,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,0.107,-1.6,1,-0.5,0.7,0
88,Facundo Campazzo,PG,29,DEN,65,19,1425,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1.2,-0.6,0.5,0
89,Vlatko Čančar,PF,23,DEN,41,1,281,9.7,0.547,0.458,0.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,0,0.3,0.3,0.053,-2.6,0,-2.6,0,0
90,Devin Cannady,PG,24,ORL,8,0,74,11.2,0.547,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,0,0.1,0.1,0.057,-4,1,-3.1,0,0
91,Clint Capela,C,26,ATL,63,63,1898,24.3,0.601,0,0.327,17.5,34.3,26.1,4.1,1.1,6,8.4,19.9,4.9,3.3,8.2,0.207,2.7,0,2.7,2.2,0
92,Vernon Carey Jr.,C,19,CHO,19,4,115,11.7,0.563,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0,0.1,0.2,0.066,-4.4,-1.7,-6.1,-0.1,0
93,Jevon Carter,PG,25,PHO,60,1,717,12.2,0.548,0.677,0.031,2.6,11.8,7.3,13,2,1.1,6.6,15,0.7,0.8,1.6,0.104,-0.4,0.9,0.5,0.5,0
94,Wendell Carter Jr.,C,21,TOT,54,44,1375,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.118,-1.1,-0.2,-1.3,0.2,0
